--- LOC REPORT ---
CAPA       | CLASE                          | N LINEAS   | BLANK      | COMMENT    | LOC  
DATOS      | models/Reporte.php             | obtenerGraficoPisos                 | 4    
DATOS      | models/Reporte.php             | obtenerHabitacionesMasSolicitadas   | 4    
DATOS      | models/Reporte.php             | obtenerIngresosPorTarifa            | 4    
DATOS      | models/Reporte.php             | obtenerClientesFrecuentes           | 3    
DATOS      | models/Reporte.php             | obtenerOcupacionPorPiso             | 4    
DATOS      | models/Reporte.php             | exportarExcelRecepciones            | 7    
DATOS      | models/Rol.php                 | get_rol                             | 1    
DATOS      | models/Rol.php                 | get_rol_activo                      | 1    
DATOS      | models/Rol.php                 | get_rol_x_rol_id                    | 2    
DATOS      | models/Rol.php                 | delete_rol                          | 2    
DATOS      | models/Rol.php                 | insert_rol                          | 2    
DATOS      | models/Rol.php                 | update_rol                          | 3    
DATOS      | models/Rol.php                 | verificar_rol_existente             | 5    
DATOS      | models/Rol.php                 | validarLongitud                     | 2    
DATOS      | models/Rol.php                 | validar_acceso_rol                  | 3    
DATOS      | models/Rol.php                 | cambiar_estado_rol                  | 3    
DATOS      | models/Tarifa.php              | get_tarifa                          | 1    
DATOS      | models/Tarifa.php              | get_tarifas_activas                 | 1    
DATOS      | models/Tarifa.php              | get_tarifa_x_tar_id                 | 2    
DATOS      | models/Tarifa.php              | get_tarifas_asignadas_por_habitacion | 2    
DATOS      | models/Tarifa.php              | asignar_tarifa_habitacion           | 7    
DATOS      | models/Tarifa.php              | actualizar_vigencia_tarifa_habitacion | 4    
DATOS      | models/Tarifa.php              | eliminar_tarifa_habitacion          | 2    
DATOS      | models/Tarifa.php              | insert_tarifa                       | 3    
DATOS      | models/Tarifa.php              | update_tarifa                       | 4    
DATOS      | models/Tarifa.php              | verificar_tarifa_existente          | 4    
DATOS      | models/Tarifa.php              | cambiar_estado_tarifa               | 3    
DATOS      | models/Tarifa.php              | delete_tarifa                       | 2    
DATOS      | models/Usuario.php             | findUserByCredentials               | 6    
DATOS      | models/Usuario.php             | get_usuario                         | 2    
DATOS      | models/Usuario.php             | get_usuario_x_usu_id                | 2    
DATOS      | models/Usuario.php             | delete_usuario                      | 2    
DATOS      | models/Usuario.php             | insert_usuario                      | 7    
DATOS      | models/Usuario.php             | update_usuario                      | 8    
DATOS      | models/Usuario.php             | update_usuario_pass                 | 3    
DATOS      | models/Usuario.php             | existe_usuario_correo               | 2    
DATOS      | models/Usuario.php             | existe_usuario_dni                  | 2    
DATOS      | models/Usuario.php             | cambiar_estado_usuario              | 3    
DATOS      | models/Venta.php               | insert_venta                        | 2    
DATOS      | models/Venta.php               | get_venta_borrador_por_recepcion    | 3    
DATOS      | models/Venta.php               | get_or_create_venta_borrador        | 2    
DATOS      | models/Venta.php               | insert_detalle_venta                | 10   
DATOS      | models/Venta.php               | get_venta_detalle                   | 3    
DATOS      | models/Venta.php               | get_venta_x_id                      | 2    
DATOS      | models/Venta.php               | get_detalle_venta_x_id_venta        | 2    
DATOS      | models/Venta.php               | get_ventas                          | 1    
DATOS      | models/Venta.php               | get_ventas_x_recepcion              | 2    
DATOS      | models/Venta.php               | update_venta_total                  | 3    
DATOS      | models/Venta.php               | update_venta_estado                 | 3    
DATOS      | models/Venta.php               | delete_venta                        | 2    
DATOS      | models/Venta.php               | delete_detalle_venta                | 7    
DATOS      | models/Venta.php               | update_detalle_venta                | 4    
DATOS      | models/Venta.php               | get_total_detalles_por_venta        | 2    
DATOS      | models/Venta.php               | calcular_totales_y_actualizar       | 5    
DATOS      | models/Venta.php               | finalizar_venta                     | 2    
DATOS      | models/Venta.php               | cancelar_venta_borrador             | 8    
DATOS      | models/Venta.php               | limpiar_borradores_antiguos         | 6    
